salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
15k-25k,深圳,3-5年,南山区,50-150人,广州优融网络科技有限责任公司,"电子商务,O2O",,"node.js,Ruby,后端,",开发/测试/运维类,"周末双休,下午茶时光,扁平化管理",Python开发工程师,大专,天使轮,2017-12-15 17:21:53
15k-25k,深圳,3-5年,南山区,15-50人,愛比特有限公司,金融,"年底双薪,股票期权,年终分红,带薪年假,","高级,web,数据分析,服务器端,区块链,",开发/测试/运维类,"腾讯系,技术导向,福利优厚,交通便利",Python 后台工程师,本科,A轮,2017-12-18 15:15:16
5k-10k,深圳,1-3年,龙岗区,150-500人,深圳市中企工联保家电服务有限公司,"移动互联网,电子商务","五险一金,专项奖金,股票期权,午餐补助,",,开发/测试/运维类,"周末双休,核心岗位,重点培养",Python 工程师,大专,A轮,2017-12-14 15:49:35
8k-15k,深圳,1-3年,南山区,15-50人,前海企保科技（深圳）有限公司,"金融,企业服务","弹性工作,帅哥多,美女多,领导好,","Java,机器学习,自然语言处理,",开发/测试/运维类,"薪酬高,福利好,美女多",Python工程师,本科,A轮,2017-12-13 10:25:20
15k-30k,深圳,3-5年,南山区,2000人以上,广东欧珀移动通信有限公司,移动互联网,"丰厚年终,扁平管理,追求极致,本分,","云计算,",技术,核心事业群 千万级日活 氛围好 组织扁平,Python工程师（运维平台）,本科,不需要融资,2017-12-12 16:52:01
8k-16k,深圳,不限,龙岗区,少于15人,深圳市百高汇科技发展有限公司,"信息安全,企业服务",,"旅游,后端,JavaScript,",开发/测试/运维类,"弹性工作,免费宿舍,年底双薪,项目奖金",Python 研发工程师,不限,未融资,2017-12-18 17:08:15
8k-16k,深圳,1-3年,南山区,50-150人,深圳市品汇科技有限公司,"移动互联网,社交网络","绩效奖金,带薪年假,五险一金,年底双薪,","linux,C++,redis,Unix,架构,",开发/测试/运维类,"周末双休,弹性工作,绩效奖金,五险一金",Python开发工程师,本科,C轮,2017-12-11 14:56:04
6K-10K,深圳,1-3年,南山区,少于15人,深圳市三亿博士科技有限公司,企业服务,,"后端开发,",开发/测试/运维类,团队年轻，老板nice,python,本科,未融资,2017-12-15 07:50:45
12k-24k,深圳,1-3年,福田区,15-50人,上海鲲云信息科技有限公司,"数据服务,硬件","股票期权,弹性工作,扁平管理,国际交流,","C++,Java,算法,",开发/测试/运维类,"行业领先,团队亲和",Python软件工程师,本科,天使轮,2017-12-05 09:52:55
8k-15k,深圳,不限,南山区,15-50人,深圳市德博思信息技术有限公司,"移动互联网,数据服务",,"物流,二次开发,linux,MySQL,数据库,ERP,",开发/测试/运维类,"学习,成长,机会,福利",python 软件工程师,大专,未融资,2017-12-19 09:17:20
7k-14k,深圳,1年以下,南山区,少于15人,深圳市紫帆科技开发有限公司,"移动互联网,硬件","通讯津贴,定期体检,弹性工作,领导好,","初级,实习,Java,人工智能,机器学习,自然语言处理,",开发/测试/运维类,科技前沿,Python开发工程师,本科,天使轮,2017-12-12 21:04:50
