salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
20k-30k,北京,5-10年,海淀区,150-500人,北京点石经纬科技有限公司,"移动互联网,教育","五险一金,带薪年假,节日礼物,年度旅游,",,开发/测试/运维类,"集团背景,季度奖金,年终奖,福利多多",高级Python工程师,本科,B轮,2017-12-19 10:49:35
20k-40k,北京,3-5年,海淀区,150-500人,北京春雨天下软件有限公司,移动互联网,"绩效奖金,五险一金,带薪年假,定期体检,","Java,redis,移动医疗,微服务,服务器研发,",技术,有挑战，自主加薪，技术氛围好,Python,本科,C轮,2017-12-20 11:00:40
20k-30k,北京,3-5年,海淀区,150-500人,北京步鼎方舟科技有限公司,"移动互联网,O2O",,,开发/测试/运维类,一日三餐、带薪年假、弹性工作、六险一金,Python高级开发工程师,本科,B轮,2017-12-20 10:46:08
20k-40k,北京,3-5年,海淀区,2000人以上,北京搜狗科技发展有限公司,"移动互联网,数据服务","岗位晋升,扁平管理,管理规范,精英团队,","信息安全,硬件制造,Java,运维,",开发/测试/运维类,技术先进、团队气氛佳,技术工程部-python开发工程师,本科,C轮,2017-12-20 09:45:25
20K-40K,北京,3-5年,海淀区,50-150人,慧影医疗科技（北京）有限公司,"移动互联网,医疗健康","技能培训,股票期权,岗位晋升,弹性工作,","资深,高级,中级,软件开发,web后端,",开发/测试/运维类,待遇好，个人发展空间大，公司离地铁口近。,Python开发工程师,本科,B轮,2017-12-20 09:42:19
20k-30k,北京,3-5年,朝阳区,150-500人,小叶子（北京）科技有限公司,"硬件,教育","优秀团队,篮球羽毛球队,13薪,各种爬梯,","高级,PHP,后端,",开发/测试/运维类,"免费午晚餐,五险一金,交补,年终奖",python,本科,C轮,2017-12-20 09:52:04
15k-25k,北京,5-10年,海淀区,150-500人,北京首都在线科技股份有限公司,移动互联网,"绩效奖金,通讯津贴,定期体检,带薪年假,","云计算,redis,架构,",开发/测试/运维类,"薪酬福利好,云计算公司",python研发工程师,本科,上市公司,2017-12-20 09:43:33
25k-35k,北京,3-5年,朝阳区,500-2000人,维我软件（上海）有限公司北京分公司,"移动互联网,企业服务","行业领先,超长年假,年度旅游,","云计算,资深,高级,中级,web,",开发/测试/运维类,"纽交所上市,云计算,SaaS,生命科学",Software Engineer -Python,本科,上市公司,2017-12-20 10:18:29
15k-25k,北京,3-5年,朝阳区,150-500人,在线途游（北京）科技有限公司,"移动互联网,游戏","股票期权,专项奖金,五险一金,带薪年假,","云计算,高级,运维,",开发/测试/运维类,"施展空间大,季度奖",python开发工程师,本科,B轮,2017-12-20 10:16:47
8k-16k,北京,1-3年,东城区,15-50人,北京元信网安科技有限公司,信息安全,""""",","高级,中级,初级,Java,django,",开发/测试/运维类,拼搏,Python开发工程师,本科,天使轮,2017-12-20 14:46:30
15k-30k,北京,3-5年,朝阳区,2000人以上,北京奇安信科技有限公司,"电子商务,企业服务","年底双薪,带薪年假,午餐补助,定期体检,","资深,高级,web,架构师,服务器端,",开发/测试/运维类,技术氛围浓；平台口碑好；福利待遇优,360企业安全-Python开发工程师,本科,不需要融资,2017-12-20 10:41:42
20K-35K,北京,3-5年,海淀区,500-2000人,深圳市海视泰科技有限公司,"电子商务,移动互联网",,,开发/测试/运维类,弹性工作，不加班，有餐食,Python,本科,C轮,2017-12-20 17:04:58
10K-20K,北京,1-3年,朝阳区,50-150人,北京博派通达科技有限公司,"移动互联网,硬件","年底双薪,股票期权,专项奖金,带薪年假,","高级,中级,后端开发,web,tornado,",开发/测试/运维类,极客精神，Python大牛，纯互联网文化,Python工程师,大专,A轮,2017-12-20 14:49:57
18k-25k,北京,1-3年,朝阳区,500-2000人,北京天下秀科技股份有限公司,"移动互联网,广告营销","技能培训,节日礼物,绩效奖金,年度旅游,","云计算,数据挖掘,爬虫,",开发/测试/运维类,"团队氛围,环境宜人,做五休二",Python开发工程师,本科,C轮,2017-12-19 09:13:50
18k-30k,北京,3-5年,昌平区,50-150人,成都美洽网络科技有限公司,企业服务,"不加班,全员期权,专项奖金,五险一金,","企业服务,GO,",开发/测试/运维类,"优秀的团队,15薪,半年涨薪,前景明朗",python,本科,B轮,2017-12-20 11:37:32
25k-35k,北京,3-5年,朝阳区,150-500人,北京瓴岳信息技术有限公司,"移动互联网,金融","14薪,弹性工作,零食水果,午餐晚餐,","资深,高级,中级,初级,爬虫,",开发/测试/运维类,"十四薪,六险一金,弹性工作制,午餐晚餐",Python工程师,本科,不需要融资,2017-12-20 11:32:40
20k-40k,北京,3-5年,朝阳区,15-50人,北京一览科技有限公司,"移动互联网,文化娱乐","股票期权,弹性工作,领导好,扁平管理,","视频,资深,高级,中级,软件开发,大数据,",开发/测试/运维类,福利优厚,python开发工程师,本科,未融资,2017-12-20 10:28:51
12k-20k,北京,3-5年,海淀区,15-50人,青松智慧（北京）科技有限公司,"移动互联网,企业服务","股票期权,带薪年假,年度旅游,扁平管理,","云计算,高级,",开发/测试/运维类,"五险一金,年度旅游,年度旅游,股票期权",Python工程师,不限,B轮,2017-12-20 10:46:52
15k-30k,北京,1年以下,朝阳区,150-500人,北京数美时代科技有限公司,"企业服务,数据服务","年底双薪,大数据,带薪年假,通讯津贴,","大数据,数据挖掘,",开发/测试/运维类,"飞速发展,技术氛围浓,大牛担任导",python研发工程师,硕士,B轮,2017-12-20 11:22:13
15k-30k,北京,3-5年,海淀区,50-150人,会找房（北京）网络技术有限公司,移动互联网、金融,"节日礼物,股票期权,带薪年假,年度旅游,","支付,云计算,电商,中级,",开发/测试/运维类,"弹性工作制,股票期权,行业巨头,地铁周边",高级python开发工程师,本科,C轮,2017-12-20 10:38:21
15k-25k,北京,1-3年,朝阳区,50-150人,永杨安风（北京）科技有限公司,移动互联网,"绩效奖金,专项奖金,带薪年假,节日礼物,","移动互联网,广告营销,Java,golang,",开发/测试/运维类,"海外APP,社/公全额,海外团建,工作居住证",Python研发工程师,本科,B轮,2017-12-20 17:03:31
25k-35k,北京,3-5年,朝阳区,150-500人,北京好巧国际旅行社有限公司,数据服务,"五险一金,弹性工作,扁平管理,百万医疗,","C/C++,",开发/测试/运维类,"高增长,五险一金,弹性工作,有期权",Linux C++/Python中高级研发工程师,本科,B轮,2017-12-20 14:33:03
25k-35k,北京,5-10年,朝阳区,500-2000人,维我软件（上海）有限公司北京分公司,"移动互联网,企业服务","行业领先,超长年假,年度旅游,","资深,后端开发,web,",开发/测试/运维类,"纽交所上市,SaaS,生命科学,CRM",高级工程师-Python,本科,上市公司,2017-12-20 10:25:35
10k-20k,北京,1-3年,朝阳区,2000人以上,北京奇安信科技有限公司,"电子商务,企业服务","年底双薪,带薪年假,午餐补助,定期体检,","后端开发,大数据,redis,NoSQL,django,",开发/测试/运维类,平台成熟；薪酬福利好；技术氛围浓,python开发工程师,本科,不需要融资,2017-12-20 10:41:42
15k-30k,北京,3-5年,海淀区,500-2000人,北京融联世纪信息技术有限公司,"移动互联网,金融","股票期权,专项奖金,通讯津贴,带薪年假,","数据分析,大数据,Java,",开发/测试/运维类,"公司前景好,发展空间大",python研发工程师,本科,D轮及以上,2017-12-20 10:25:28
