work_location,publish_time,position_category,position_link,hiring_number,position_name
深圳,2017-12-11,技术类,http://hr.tencent.com/position_detail.php?id=29276&keywords=&tid=0&lid=0,1,MIG12-大数据算法应用高级架构师（深圳）
北京,2017-12-11,职能类,http://hr.tencent.com/position_detail.php?id=32325&keywords=&tid=0&lid=0,1,OMG093-企业文化运营经理（北京）
深圳,2017-12-10,技术类,http://hr.tencent.com/position_detail.php?id=29246&keywords=&tid=0&lid=0,2,SNG04-手Q厘米秀IOS开发工程师（深圳）
深圳,2017-12-10,产品/项目类,http://hr.tencent.com/position_detail.php?id=29245&keywords=&tid=0&lid=0,2,SA-腾讯社交广告流量产品运营经理（深圳）
深圳,2017-12-10,市场类,http://hr.tencent.com/position_detail.php?id=29243&keywords=&tid=0&lid=0,1,17467-企鹅电竞高级品牌经理（深圳）
深圳,2017-12-09,技术类,http://hr.tencent.com/position_detail.php?id=31514&keywords=&tid=0&lid=0,1,22989-大数据和人工智能高级开发工程师 （深圳/北京/上海/成都）
深圳,2017-12-08,技术类,http://hr.tencent.com/position_detail.php?id=34870&keywords=&tid=0&lid=0,1,HY2-代理游戏运维工程师（深圳）
深圳,2017-12-08,产品/项目类,http://hr.tencent.com/position_detail.php?id=31748&keywords=&tid=0&lid=0,1,18425-金融云产品经理
北京,2017-12-08,设计类,http://hr.tencent.com/position_detail.php?id=30380&keywords=&tid=0&lid=0,1,15612-资深UI界面设计师（北京）
深圳,2017-12-08,市场类,http://hr.tencent.com/position_detail.php?id=32105&keywords=&tid=0&lid=0,1,22990-腾讯云渠道经理（深圳）
北京,2017-12-08,职能类,http://hr.tencent.com/position_detail.php?id=32854&keywords=&tid=0&lid=0,1,AQ-安全运营经理（北京）
深圳,2017-12-07,技术类,http://hr.tencent.com/position_detail.php?id=34846&keywords=&tid=0&lid=0,1,22989-腾讯云海外架构师（北京/上海/深圳）
北京,2017-12-07,产品/项目类,http://hr.tencent.com/position_detail.php?id=34852&keywords=&tid=0&lid=0,1,23671-招商产品运营
深圳,2017-12-07,技术类,http://hr.tencent.com/position_detail.php?id=34834&keywords=&tid=0&lid=0,2,22989-高级web前端开发工程师（深圳）
深圳,2017-12-07,产品/项目类,http://hr.tencent.com/position_detail.php?id=34832&keywords=&tid=0&lid=0,1,SNG16-数字专辑高级产品策划（深圳）
深圳,2017-12-07,设计类,http://hr.tencent.com/position_detail.php?id=33367&keywords=&tid=0&lid=0,1,HY1-资深视觉设计师（深圳）
深圳,2017-12-07,职能类,http://hr.tencent.com/position_detail.php?id=33250&keywords=&tid=0&lid=0,1,14137-WXG财务管理（深圳）
深圳,2017-12-07,技术类,http://hr.tencent.com/position_detail.php?id=33335&keywords=&tid=0&lid=0,1,22989-CDN方向高级专项技术支持工程师（深圳）
深圳,2017-12-07,技术类,http://hr.tencent.com/position_detail.php?id=28440&keywords=&tid=0&lid=0,2,SNG06-企鹅电竞后台开发工程师（深圳）
上海,2017-12-06,技术类,http://hr.tencent.com/position_detail.php?id=34190&keywords=&tid=0&lid=0,2,SNG08-图像算法岗位（上海）
深圳,2017-12-06,技术类,http://hr.tencent.com/position_detail.php?id=34810&keywords=&tid=0&lid=0,1,SA-腾讯社交广告基础平台开发工程师（微信广告方向 深圳）
北京,2017-12-06,技术类,http://hr.tencent.com/position_detail.php?id=34793&keywords=&tid=0&lid=0,1,WXG08-121 模式识别机器学习（高级）算法工程师（北京）
上海,2017-12-06,职能类,http://hr.tencent.com/position_detail.php?id=32787&keywords=&tid=0&lid=0,1,RP-文化与员工关系经理（上海）
北京,2017-12-06,市场类,http://hr.tencent.com/position_detail.php?id=30328&keywords=&tid=0&lid=0,1,SA-腾讯社交广告营销策划经理（北京）
深圳,2017-12-06,产品/项目类,http://hr.tencent.com/position_detail.php?id=30889&keywords=&tid=0&lid=0,1,MIG06-AI语义产品经理（深圳）
深圳,2017-12-06,产品/项目类,http://hr.tencent.com/position_detail.php?id=28424&keywords=&tid=0&lid=0,1,SNG06-企鹅电竞赛事运营经理（深圳）
北京,2017-12-05,,http://hr.tencent.com/position_detail.php?id=31219&keywords=&tid=0&lid=0,3,SA-腾讯社交广告公关传播经理（北京）
深圳,2017-12-05,产品/项目类,http://hr.tencent.com/position_detail.php?id=16860&keywords=&tid=0&lid=0,2,SNG01-QQ高级产品经理（深圳）
深圳,2017-12-05,设计类,http://hr.tencent.com/position_detail.php?id=34764&keywords=&tid=0&lid=0,1,TEG07-CDC品牌设计师（深圳）
深圳,2017-12-05,市场类,http://hr.tencent.com/position_detail.php?id=27101&keywords=&tid=0&lid=0,1,23295-互娱高级媒介经理（深圳）
深圳,2017-12-05,市场类,http://hr.tencent.com/position_detail.php?id=33221&keywords=&tid=0&lid=0,1,23292-英雄联盟品牌经理（深圳）
深圳,2017-12-05,产品/项目类,http://hr.tencent.com/position_detail.php?id=31902&keywords=&tid=0&lid=0,2,XN-寿险产品策划经理
深圳,2017-12-05,产品/项目类,http://hr.tencent.com/position_detail.php?id=34128&keywords=&tid=0&lid=0,1,XN-通讯充值产品策划经理（深圳）
深圳,2017-12-05,技术类,http://hr.tencent.com/position_detail.php?id=32758&keywords=&tid=0&lid=0,1,TEG04-web前端开发工程师（深圳）
深圳,2017-12-05,技术类,http://hr.tencent.com/position_detail.php?id=32746&keywords=&tid=0&lid=0,2,22989-高级系统技术工程师（深圳）
北京,2017-12-05,职能类,http://hr.tencent.com/position_detail.php?id=32760&keywords=&tid=0&lid=0,1,20764-政府及公共事务高级经理
深圳,2017-12-04,产品/项目类,http://hr.tencent.com/position_detail.php?id=34756&keywords=&tid=0&lid=0,1,15571-射击游戏关卡策划（深圳）
深圳,2017-12-04,产品/项目类,http://hr.tencent.com/position_detail.php?id=34744&keywords=&tid=0&lid=0,2,22989-腾讯云数据分析师（深圳）
天津,2017-12-04,内容编辑类,http://hr.tencent.com/position_detail.php?id=34735&keywords=&tid=0&lid=0,5,23671-视频质量管理（天津）
深圳,2017-12-04,技术类,http://hr.tencent.com/position_detail.php?id=27896&keywords=&tid=0&lid=0,1,OMG236-腾讯视频mac软件测试工程师（深圳）
深圳,2017-12-04,技术类,http://hr.tencent.com/position_detail.php?id=34554&keywords=&tid=0&lid=0,4,TEG11-数据挖掘工程师（深圳）
深圳,2017-12-04,技术类,http://hr.tencent.com/position_detail.php?id=29074&keywords=&tid=0&lid=0,2,TEG09-音频研发工程师（深圳）
深圳,2017-12-04,职能类,http://hr.tencent.com/position_detail.php?id=34045&keywords=&tid=0&lid=0,1,21645-SNG法务
深圳,2017-12-04,职能类,http://hr.tencent.com/position_detail.php?id=32064&keywords=&tid=0&lid=0,1,WXG08-511 微信高级秘书（深圳）
深圳,2017-12-03,技术类,http://hr.tencent.com/position_detail.php?id=32026&keywords=&tid=0&lid=0,2,GH-数据识别与转换工具开发工程师
